Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Boardcave.Com Pty Ltd,Burleigh Heads,4220.0,Nan,Nan,Cavewire® - Driving Brick And Mortar Retail Sales,Burleigh Heads,4220.0,Nan,2017-03-09,Gold Coast (C),Gold Coast,Burleigh,240000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Connected Sports Technologies Pty Ltd,West End,4101.0,Nan,Nan,Smax Bat-Swing Analyser,West End,4101.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,South Brisbane,99500.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Cyclevision Pty Ltd,Cairns,4870.0,Nan,Nan,Cyclevision Advanced Concept Bicycle Helmets,Cairns City,4870.0,Nan,2017-03-09,Cairns (R),Far North Queensland,Cairns,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Cobalt Extreme Pty Ltd,East Brisbane,4169.0,Nan,Nan,The Cobaltspiral System,East Brisbane,4169.0,Nan,2017-03-10,Brisbane (C),Brisbane And Redlands,South Brisbane,100000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Cellarouge Pty Ltd,Jollys Lookout,4520.0,Nan,Nan,Queensland Grown Aged Green Tea - No Pain - First Cup - 15 Minutes,Jollys Lookout,4520.0,Nan,2017-03-09,Moreton Bay (R),Moreton Bay,Pine Rivers,79600.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Cleantech U.V. International Pty Ltd,Varsity Lakes,4227.0,Nan,Nan,"Development Of A Uv Disinfection Device To Be Used In The Medical Industry, To Combat Secondary Infections In Hospitals And Aged Care Facilities.",Varsity Lakes,4227.0,Nan,2017-03-10,Gold Coast (C),Gold Coast,Burleigh,85000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Heluva Pty Ltd,West End,4101.0,Nan,Nan,Ellaspede - Motorcycle Kits,West End,4101.0,Nan,2017-03-10,Brisbane (C),Brisbane And Redlands,South Brisbane,99600.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Power Iq Pty Ltd,Meadowbrook,4131.0,Nan,Nan,Commercialisation And Launch Of Super-Efficient Battery Inverter,Capalaba,4157.0,Nan,2017-03-09,Logan (C),Brisbane And Redlands,Waterford,250000.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Premier Rock Machinery Pty Ltd,Willawong,4110.0,Nan,Nan,Sentinel - Hazardous Zone Monitoring System Project,Willawong,4110.0,Nan,2017-03-09,Brisbane (C),Brisbane And Redlands,Algester,99700.0
Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Point Duty Pty Ltd,Sippy Downs,4556.0,Nan,Nan,Point Duty Intelligence Data Capture System,Sippy Downs,4556.0,Nan,2017-03-09,Sunshine Coast (R),Sunshine Coast,Buderim,250000.0
