Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Gsl A Good Start To Life Pty Ltd,Parramatta Park,4870.0,Nan,Nan,Develop Online Tool For Young People With Mental Health Disorders,Parramatta Park,4870.0,Nan,2015-12-03,Cairns (R),Far North Queensland,Cairns,8092.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Mandalay Technologies Pty Ltd,South Brisbane,4101.0,Nan,Nan,Develop A Cloud Platform That Measures The Performance Of Waste Management Systems,South Brisbane,4101.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,South Brisbane,1415.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Nitestar Pty Ltd Atf Bob Dean Trust,Bundall,4217.0,Nan,Nan,Expanding Drone Technology,Bundall,4217.0,Nan,2015-12-03,Gold Coast (C),Gold Coast,Southport,49332.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Redeye Apps Pty Ltd,Brisbane City,4000.0,Nan,Nan,Design And Develop The Second Version Of The Company'S Engineering Drawing And Data Management App,Brisbane City,4000.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,37333.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Statcom Solutions Pty Ltd,Herston,4006.0,Nan,Nan,Expansion Of The D Series Starsine Statcom,Herston,4006.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Music Broadcasting Society Of Queensland Limited,Coorparoo,4151.0,Nan,Nan,Silver Memories,Coorparoo,4151.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Greenslopes,24960.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Taylor Willis Pty Ltd,Southport,4215.0,Nan,Nan,Small Block Design,Southport,4215.0,Nan,2015-12-03,Gold Coast (C),Gold Coast,Southport,40619.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Natura Pacific Pty Ltd,Burleigh Heads,4220.0,Nan,Nan,Development Of An Educational App To Reduce Spread Of Weeds,Burleigh Heads,4220.0,Nan,2015-12-03,Gold Coast (C),Gold Coast,Burleigh,22550.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 4,Immersaview Pty Ltd,Banyo,4014.0,Nan,Nan,"Gpu Optimization Of The Encoding/Decoding Video, Audio And Data",Banyo,4014.0,Nan,2017-09-05,Brisbane (C),Brisbane And Redlands,Nudgee,42668.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 4,Cartoncloud Pty Ltd,Burleigh Heads,4220.0,Nan,Nan,High Efficiency Route Optimisation Algorithm,Burleigh Heads,4220.0,Nan,2017-09-05,Gold Coast (C),Gold Coast,Burleigh,38098.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 3,Gilmour Space Technologies Pty Ltd,Pimpama,4209.0,Nan,Nan,Hybrid Fuel Catalyst Pack Development,Pimpama,4209.0,Nan,2017-06-26,Gold Coast (C),Gold Coast,Coomera,46270.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Dec-Mech Pty Ltd,Aitkenvale,4814.0,Nan,Nan,An Asset Integrity And Maintece Ontology For Industry,Aitkenvale,4814.0,Nan,2017-10-23,Townsville (C),Townsville,Mundingburra,35430.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Calxa Pty Ltd,Townsville City,4810.0,Nan,Nan,Applying Artificial Intelligence To Business Management Advice,Townsville City,4810.0,Nan,2017-10-23,Townsville (C),Townsville,Townsville,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 4,The Water And Carbon Group Pty Ltd,Brisbane City,4000.0,Nan,Nan,Landfill Leachate Treatment Pilot Plant,Brisbane City,4000.0,Nan,2017-09-05,Brisbane (C),Brisbane And Redlands,Mcconnel,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Bioproton Pty Ltd,Acacia Ridge,4110.0,Nan,Nan,Removal Of Dags,Acacia Ridge,4110.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Stretton,47960.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Ellume Pty Ltd,East Brisbane,4169.0,Nan,Nan,Help Diagnose Respiratory Syncytial Virsum,East Brisbane,4169.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,South Brisbane,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Epi Capital Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Employee Management System,Fortitude Valley,4006.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,39749.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 3,Becker Helicopter Services Pty Ltd,Marcoola,4564.0,Nan,Nan,Virtual Reality Aircrew Training System,Marcoola,4564.0,Nan,2017-06-26,Sunshine Coast (R),Sunshine Coast,Maroochydore,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 3,400 Holdings Pty Ltd,New Farm,4005.0,Nan,Nan,"Marketing Campaign - The Briefcase, Online & Rural Qld",New Farm,4005.0,Nan,2017-06-26,Brisbane (C),Brisbane And Redlands,Mcconnel,30000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Airtime Holdings Pty Ltd Atf S&G Witheridge Trust,Fortitude Valley,4006.0,Nan,Nan,Develop Online Calculators,Fortitude Valley,4006.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Mcconnel,37000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Queensland Ballet Company,West End,4101.0,Nan,Nan,Ballet Moves,West End,4101.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,South Brisbane,37963.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Foresters Community Fice Ltd,Bowen Hills,4006.0,Nan,Nan,Development Of Online Loans Processing System,Bowen Hills,4006.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,25333.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Sealink Queensland Pty Ltd,Townsville,4810.0,Nan,Nan,Development Of A North Queensland Tourism Knowledge Cluster,Townsville City,4810.0,Nan,2016-11-07,Townsville (C),Townsville,Townsville,24000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 1,Community Information Support Services Ltd,Fortitude Valley,4006.0,Nan,Nan,Service Linker Plus,Fortitude Valley,4006.0,Nan,2016-11-21,Brisbane (C),Brisbane And Redlands,Mcconnel,49811.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Synapse Australia Limited,West End,4101.0,Nan,Nan,Development Of Online Screening Tool For Neuro-Cognitive Assessment Of Indigenous People,West End,4101.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,South Brisbane,39316.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Dingo Software Pty Ltd,Wilston,4051.0,Nan,Nan,Automation Of Condition Monitoring Database,Wilston,4051.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Stafford,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Bivacor Pty Ltd,Wilston,4051.0,Nan,Nan,Artifical Heart Device,Wilston,4051.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Stafford,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,All Energy Pty Ltd,Spring Hill,4000.0,Nan,Nan,Develop An App To Help Businesses Reduce Their Thermal And Electrical Power Demand,Spring Hill,4000.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,40667.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Campbell Scientific Australia Pty Ltd,Garbutt,4814.0,Nan,Nan,Development Of Low Cost Sensors,Garbutt,4814.0,Nan,2016-11-07,Townsville (C),Townsville,Townsville,46711.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Community Lifestyle Support Ltd,Kalkie,4670.0,Nan,Nan,Microelectromechanical Systems Technology,Kalkie,4670.0,Nan,2016-11-07,Bundaberg (R),Wide Bay,Bundaberg,35509.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 4,Central Highlands Science Centre Inc,Emerald,4720.0,Nan,Nan,Stem Education,Emerald,4720.0,Nan,2016-11-07,Central Highlands (R),Central Queensland,Gregory,47539.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 2,Mindstar Enterprises Pty Ltd,Marcoola,4564.0,Nan,Nan,Mindstar Enterprises Pty Ltd,Marcoola,4564.0,Nan,2017-05-04,Sunshine Coast (R),Sunshine Coast,Maroochydore,48563.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 2,Bioproton Pty Ltd,Acacia Ridge,4110.0,Nan,Nan,Bioproton Pty Ltd,Acacia Ridge,4110.0,Nan,2017-05-04,Brisbane (C),Brisbane And Redlands,Stretton,47000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 2,Qld Oztag Group Inc,Caloundra,4551.0,Nan,Nan,Queensland Oztag,Caloundra,4551.0,Nan,2017-05-04,Sunshine Coast (R),Sunshine Coast,Kawana,18816.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 2,Ultra Coral Australia Pty Ltd,Paget,4740.0,Nan,Nan,Ultra Coral Australia Pty. Ltd.,Paget,4740.0,Nan,2017-05-04,Mackay (R),Mackay-Whitsunday,Mackay,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 2,Synengco Pty Ltd,Highgate Hill,4101.0,Nan,Nan,Synengco Pty. Ltd.,Highgate Hill,4101.0,Nan,2017-05-04,Brisbane (C),Brisbane And Redlands,South Brisbane,42186.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 2,Biarri Optimisation Pty Ltd,Brisbane City,4000.0,Nan,Nan,Biarri Optimisation,Brisbane City,4000.0,Nan,2017-05-04,Brisbane (C),Brisbane And Redlands,Mcconnel,40077.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 1,Exploration Drill Rigs Pty Ltd,Redbank,4301.0,Nan,Nan,Power Drill,Redbank,4301.0,Nan,2016-11-21,Ipswich (C),Ipswich,Bundamba,44000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 1,Digital Syndicate Studios Pty Ltd,Varsity Lakes,4227.0,Nan,Nan,Development Of Simulation Framework,Varsity Lakes,4227.0,Nan,2016-11-21,Gold Coast (C),Gold Coast,Mermaid Beach,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 1,Gis People Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Facial Recognition,Fortitude Valley,4006.0,Nan,2016-11-21,Brisbane (C),Brisbane And Redlands,Mcconnel,33333.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 2,Agapeflows Pty Ltd,Enoggera,4051.0,Nan,Nan,Agapeflows Pty Ltd,Enoggera,4051.0,Nan,2017-05-04,Brisbane (C),Brisbane And Redlands,Everton,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2016-17 Round 1,Psychological Solutions (Qld) Pty Ltd,Belmont,4153.0,Nan,Nan,Pilot Program For Neurofeedback Technologies,Belmont,4153.0,Nan,2016-11-21,Brisbane (C),Brisbane And Redlands,Chatsworth,26666.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Webstersgroup Pty Ltd,Virginia,4017.0,Nan,Nan,Expand Fice Offering For Clean Energy Projects,Fortitude Valley,4006.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,47793.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,A G Jekyll And K A Jekyll,Labrador,4215.0,Nan,Nan,Developing New Tourism Products And Experiences For The Changing Visitor Markets.,Labrador,4215.0,Nan,2016-05-17,Gold Coast (C),Gold Coast,Bonney,20600.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,2 Australia Pty Ltd,Wooloowin,4030.0,Nan,Nan,Creation Of A Voucher Site (Giftzar) To Change The Way Gifts Are Received By Offering Customers Flexibility And An Interactive Experience.,Wooloowin,4030.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Clayfield,44000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Axiom Project Services Pty Ltd,Brisbane City,4000.0,Nan,Nan,Undertake Research Which Aims To Clarify What Is Considered Best Practice In The Planning And Preparation Of Pre-Feasibility And Feasibility Studies In Minerals Development,Brisbane City,4000.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Mcconnel,41515.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Cb Aerospace Pty Ltd,Hemmant,4174.0,Nan,Nan,Prototype Testing Of Proprietary Software And Hardware Utilising Wind Tunnel Facilities To Further Develop Engineering Advances In The Chimera Vehicle,Hemmant,4174.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Lytton,38000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Bondi Labs Pty Ltd,New Farm,4005.0,Nan,Nan,"Develop A Range Of Disciplines For Use In Visualisation Facilities, Technology Enhanced Classrooms As Well As Hand Held And Mobile Devices To Support Student Learning.",New Farm,4005.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Mcconnel,40000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Yfs Ltd,Slacks Creek,4127.0,Nan,Nan,Develop A Youth Engagement Model To Help Prevent Domestic Violence,Slacks Creek,4127.0,Nan,2015-12-03,Logan (C),Logan,Waterford,36000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Tejo Cogaso Pty Ltd Atf The Audio Fish Trust,Mountain Creek,4557.0,Nan,Nan,Develop An Innovative Audiology Service Accessible To Rural And Remote Patients,Mountain Creek,4557.0,Nan,2015-12-03,Sunshine Coast (R),Sunshine Coast,Buderim,33074.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Tei Services Pty Ltd,Bohle,4818.0,Nan,Nan,Develop Low Cost Wireless Sensors,Bohle,4818.0,Nan,2015-12-03,Townsville (C),Townsville,Townsville,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,The Corporations Of Professional Ecosystems Pty Ltd,Tingalpa,4173.0,Nan,Nan,Educorp,Tingalpa,4173.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Chatsworth,31066.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Workingmouse Pty Ltd,St Lucia,4067.0,Nan,Nan,Moving The Company'S Model-Driven Engineering Approach To Software Development To A Cloud-Based Approach,St Lucia,4067.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,Maiwar,41153.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 1,Truii Pty Ltd,Highgate Hill,4101.0,Nan,Nan,Develop User-Friendly Charting And Mapping Functionality,Highgate Hill,4101.0,Nan,2015-12-03,Brisbane (C),Brisbane And Redlands,South Brisbane,48000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Engineroom Infrastructure Consulting Pty Ltd,Wootha,4552.0,Nan,Nan,Testing Procedures And Model For Dewatering Tailings,Wootha,4552.0,Nan,2016-07-18,Sunshine Coast (R),Sunshine Coast,Glass House,33412.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Be Psyched Pty Ltd,Townsville City,4810.0,Nan,Nan,Online Platform For Health Professionals,Townsville City,4810.0,Nan,2016-07-18,Townsville (C),Townsville,Townsville,44146.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Like A Photon Creative Pty Ltd,Woolloongabba,4102.0,Nan,Nan,Develop A Children'S App,Woolloongabba,4102.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Miller,29654.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Watt Utilities Pty Ltd,Burleigh Waters,4220.0,Nan,Nan,"Improve Functionality Of ""Run Your Own Tender"" Software",Burleigh Waters,4220.0,Nan,2016-07-18,Gold Coast (C),Gold Coast,Burleigh,36667.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Synergy Eight Pty Ltd,Wooloowin,4030.0,Nan,Nan,Software To Solve Digital Marketing Issues.,Wooloowin,4030.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Clayfield,37167.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 3,Amtac Professional Services Pty Ltd,Greenbank,4124.0,Nan,Nan,Wireless Sensors To Monitor Liquid Waste,Greenbank,4124.0,Nan,2016-07-18,Logan (C),Logan,Logan,26320.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Oakbridge Investments Pty Ltd Aft Mckinnon Family Trust,Forest Lake,4078.0,Nan,Nan,Create A New Software Management Package For The Childcare Industry That Will Get Children Off The Waiting Lists And Into Centres By Better Utilising Assets.,Forest Lake,4078.0,Nan,2016-05-17,Brisbane (C),Ipswich,Inala,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Fusion Sport Pty Ltd,Sumner Park,4074.0,Nan,Nan,Developing Analytical And Visualisation Tools To Prevent Human Injuries In The Sports Industry And Broader Fields,Sumner,4074.0,Nan,2016-05-17,Brisbane (C),Ipswich,Mount Ommaney,50000.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Opmantek Ltd,Surfers Paradise,4217.0,Nan,Nan,Create A Technology To Enable Automatic Payment And Licence Generation For Opmantek'S Customers Which Will Improve Service And Business Efficiency,Surfers Paradise,4217.0,Nan,2016-05-17,Gold Coast (C),Gold Coast,Surfers Paradise,45625.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Riverlife Pty Ltd,Kangaroo Point,4169.0,Nan,Nan,Creating A Personal Safety Recorder Box To Decrease Crime Rates,Kangaroo Point,4169.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,South Brisbane,35200.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2015-16 Round 2,Q-Pharm Pty Limited,Herston,4006.0,Nan,Nan,Creation Of An Integrated Volunteer Management System,Herston,4006.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Mcconnel,48889.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships Program 2017-18 Round 1,Dec-Uav Pty Ltd - Aitkenvale,Aitkenvale,4814.0,Nan,Nan,Complex Drone Operation Risk Assessment System,Aitkenvale,4814.0,Nan,2017-10-23,Townsville (C),Townsville,Mundingburra,42529.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Griffith University,Meadowbrook,4131.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Synapse Australia Ltd (Formerly - Brain Injury Association Of Queensland),West End,4101.0,Nan,2016-11-07,Logan (C),Brisbane And Redlands,Waterford,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Griffith University,Nathan,4111.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Bivacor Pty Ltd,Wilston,4051.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Toohey,6750.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Central Queensland University,Norman Gardens,4701.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Central Highlands Science Centre,Emerald,4720.0,Nan,2016-11-07,Rockhampton (R),Central Queensland,Keppel,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Coordinating And Mentoring Of Employing A Graduate - Synergy Eight Pty Ltd,Wooloowin,4030.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Maiwar,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Central Queensland University,Branyan,4670.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Community Lifestyle Support,Rubyanna,4670.0,Nan,2016-11-07,Bundaberg (R),Wide Bay,Bundaberg,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Brisbane City,4000.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - All Energy Pty Ltd,Spring Hill,4000.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,7200.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Brisbane City,4000.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Foresters Community Fice Limited,Bowen Hills,4006.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,5400.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Brisbane City,4000.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Dingo Software Pty Ltd,Wilston,4051.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,James Cook University,Douglas (Townsville),4814.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Sealink Queensland,Townsville,4810.0,Nan,2016-11-07,Townsville (C),Townsville,Mundingburra,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,James Cook University,Douglas (Townsville),4814.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Campbell Scientific Australia Pty Ltd,Garbutt,4814.0,Nan,2016-11-07,Townsville (C),Townsville,Mundingburra,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Engineroom Infrastructure Consulting,Wootha,4552.0,Nan,2016-07-18,Brisbane (C),Sunshine Coast,Maiwar,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Q-Pharm Pty Ltd,Herston,4006.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Maiwar,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Axiom Project Services Pty Ltd,Brisbane City,4000.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Maiwar,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Oakbridge Investments Pty Ltd Aft Mckinnon Family Trust,Forest Lake,4078.0,Nan,2016-05-17,Brisbane (C),Ipswich,Maiwar,8100.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Cb Aerospace Pty Ltd,Hemmant,4174.0,Nan,2016-05-17,Brisbane (C),Brisbane And Redlands,Maiwar,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2017-18 Round 1,The University Of Queensland,St Lucia,4067.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Engineroom Infrastructure Consulting,Wootha,4552.0,Nan,2017-10-23,Brisbane (C),Sunshine Coast,Maiwar,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Griffith University,South Brisbane,4101.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Like A Photon Creative Pty Ltd,Woolloongabba,4102.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,South Brisbane,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Queensland University Of Technology,Brisbane City,4000.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Webstersgroup Pty Ltd,Fortitude Valley,4006.0,Nan,2016-07-18,Brisbane (C),Brisbane And Redlands,Mcconnel,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Griffith University,Nathan,4111.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Amtac Professional Services,Greenbank,4124.0,Nan,2016-07-18,Brisbane (C),Logan,Toohey,7200.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 2,University Of The Sunshine Coast,Sippy Downs,4556.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Bondi Labs Pty Ltd,New Farm,4005.0,Nan,2016-05-17,Sunshine Coast (R),Brisbane And Redlands,Buderim,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 3,Central Queensland University,Norman Gardens,4701.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Be Psyched,Townsville City,4810.0,Nan,2016-07-18,Rockhampton (R),Townsville,Keppel,10800.0
Knowledge Transfer Partnerships,Aq Knowledge Transfer Partnerships-Partner 2015-16 Round 4,Queensland University Of Technology,Kelvin Grove,4059.0,Nan,Nan,Coordinating Role And Mentoring Of Employing A Graduate - Queensland Ballet - Anja Ali-Haapala,West End,4101.0,Nan,2016-11-07,Brisbane (C),Brisbane And Redlands,Mcconnel,9000.0
