_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
661,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,The University Of Queensland,St Lucia,4067.0,,Santos Limited  Australia Pacific Lng  Arrow Energy,Using Artificial Intelligence To Increase Gas Supply - Ruizhi Zhong,St Lucia,4072.0,,2021-10-20,Brisbane (C),Brisbane And Redlands,Maiwar,160000
662,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,The University Of Queensland,St Lucia,4067.0,,Vspc,Robust Cathode Materials For Next-Generation High-Energy-Density And Low-Cost Lithium-Ion Batteries- Xia Huang,St Lucia,4072.0,"31 Westgate Street, Wacol Brisbane, Queensland 4076",2021-10-20,Brisbane (C),Brisbane And Redlands,Maiwar,160000
663,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,The University Of Queensland,St Lucia,4067.0,,Terra Sana Consultants  Australia Pacific Lng Pty Limited  Santos Limited  Arrow Energy,Novel Statistical Estimation Of Fugitive Methane Emissions Using Drones - Sebastian Hoerning,St Lucia,4072.0,,2021-10-20,Brisbane (C),Brisbane And Redlands,Maiwar,160000
664,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,The University Of Queensland,St Lucia,4067.0,,New England Biolabs Australia  Scion (New Zealand Forest Research Institute Limited)  Attia Ltd  Australian Native Products  Howe Farming Enterprises  Tropical Pines Pty Ltd  Valley Syndicate  N.Q Paradise Pines  Pinata Farms  Nufarm Australia  Kai Loa Pty Ltd  Greenlife Industry Australia  Department Of Agriculture And Fisheries,Rna Vaccines For Next Generation Crop Protection: Facilitating Adoption - Anne Sawyer,St Lucia,4072.0,"Dutton Park, Qld; Beerwah, Qld; Traverston, Qld; Yeppoon, Qld; Mareeba, Qld; The Channon, Nsw, Rotorura, New Zealand",2021-10-20,Brisbane (C),Brisbane And Redlands,Maiwar,360000
665,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,University Of Southern Queensland,Darling Heights,4350.0,,Beyond Materials Group Pty Ltd  Gold Coast Council  Sunshine Coast Council,Novel And Sustainable Protective Concrete Seawall Infrastructure - Omar Alajarmeh,Darling Heights,4350.0,"3/26 Octa St, Yatala Qld 2407; 54 Industrial Ave, Caloundra West Qld 4551; 26 Eleventh Ave, Palm Beach Qld 4221",2021-10-20,Toowoomba (R),Darling Downs,Toowoomba South,240000
666,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,University Of Southern Queensland,Springfield Central,4300.0,,Cogninet Australia Pty Ltd  Goondir Health Services,Early Detection Of Chronic Health Conditions Using Ai Prediction Model- Xujuan Zhou,Springfield Central,4300.0,"Goondir Health Services, Dalby",2021-10-20,Ipswich (C),Ipswich,Jordan,360000
667,Industry Research Fellowships,Aq Industry Research Fellowships 2022 Round 5,The University Of Queensland,St Lucia,4067.0,,Elemental Laboratories Pty Ltd,Cost-Effective Iron-Flow-Battery For Next-Generation Large-Scale Energy Storage Applications - Md Masud Rana,St Lucia,4072.0,"139B Latrobe Terrace, Paddington, Qld 4064",2022-12-15,Brisbane (C),Brisbane And Redlands,Maiwar,240000
668,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,The University Of Queensland,St Lucia,4067.0,,Anderson Horticulture  The Avotree Nursery  Costa Group  Department Of Agriculture And Fisheries,Innovating Avocado For Indoor Cropping - Advanced Climate-Smart Production Systems.  Christopher O'Brien,Indooroopilly,4068.0,"Meadowvale Qld, Childers Qld, Atherton Tablelands Far North Queensland, Duranbah Nsw",2021-10-20,Brisbane (C),Brisbane And Redlands,Maiwar,240000
669,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,University Of Queensland,St Lucia,4067.0,,Emvision Medical Devices Ltd,Graph-Based Learning Approaches For Monitoring Clinical Outcome Of Stroke Patients - Guohun Zhu,St Lucia,4072.0,,2021-10-20,Brisbane (C),Brisbane And Redlands,Maiwar,240000
670,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,University Of Southern Queensland,Darling Heights (Toowoomba),4350.0,,Zero Waste Matters  Plastic And Rubber Technical Education Centre (Partec)  Austrak Pty Ltd.,Integrating Waste Plastics Into Sleeper For Sustainable Railway Infrastructure - Wahid Ferdous,Darling Heights,4350.0,"140 Creek St, Brisbane City Qld 4000; 1030 Cavendish Rd, Mount Gravatt Qld 4122; And 1/271A South Street, Toowoomba Qld 4350",2021-10-20,Toowoomba (R),Darling Downs,Toowoomba South,160000
671,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,Queensland University Of Technology,Kelvin Grove,4059.0,,Freshbitz Pty Ltd  Zeolite Australia Pty Ltd  Synbio Pty Ltd  The Environmental Development Group Pty Ltd,Advanced Engineered Materials From Queensland Natural Resources – John Outram,Brisbane City,4000.0,"Redlands, Qld; Emerald, Qld; Escott, Nsw; Banyo, Qld",2021-10-20,Brisbane (C),Brisbane And Redlands,Mcconnel,240000
672,Industry Research Fellowships,Aq Industry Research Fellowships 2020 R3-Covid-19,The University Of Queensland - Rural Clinical School,South Toowoomba,4350.0,,University Of South Australia  University Of Queensland - Southern Queensland Rural Health,Impact Of And Implications Beyond Covid-19 On Clinical Supervision Of Staff And Students In Hospital And Health Settings - Priya Martin,Mount Lofty,4350.0,Research Sites - Darling Downs And South West Hospital And Health Services,2020-07-16,Toowoomba (R),Darling Downs,Toowoomba South,86952
673,Industry Research Fellowships,Aq Industry Research Fellowships 2020 R3-Covid-19,The University Of Queensland,St Lucia,4067.0,,Urban Utilities  Bgi Australia  Queensland Health,Combating The Transmission Of Coronavirus In Urban Water Systems Through Novel Disinfection - Ji Lu,St Lucia,4067.0,"Pinkenba, Brisbane, Qld",2020-07-16,Brisbane (C),Brisbane And Redlands,Maiwar,180000
674,Industry Research Fellowships,Aq Industry Research Fellowships 2020 R3-Covid-19,University Of Southern Queensland,Springfield Central,4300.0,,Cogninet Australia Pty Ltd  Netcare Holdings Pty Ltd  Metro North Hospital And Health Service,Using Artificial Intelligence To Prioritise Emergency Calls For Suicide Prevention Due To Covid-19 Pandemic - Rajib Rana,Springfield Central,4300.0,"Mermaid Beach, Qld; Herston, Qld",2020-07-16,Ipswich (C),Ipswich,Jordan,300000
675,Industry Research Fellowships,Aq Industry Research Fellowships 2020 R3-Covid-19,The University Of Queensland,St Lucia,4067.0,,Queensland Ballet Company  La Boite Theatre Ltd  Arts Nexus Inc,Creating Out Loud: Developing Sustainable Peer-Mentoring To Rebuild The Arts Post Covid-19 – Kate Power,St Lucia,4067.0,"Brisbane, Cairns",2020-07-16,Brisbane (C),Brisbane And Redlands,Maiwar,90000
676,Industry Research Fellowships,Aq Industry Research Fellowships 2020 R3-Covid-19,The University Of Queensland,St Lucia,4067.0,,Mater Misericordiae Ltd  Khondrion Bv,Mitokhondrion: Decreasing Covid-19 Mortality By Increasing The Functioning Of Our Cell’S Powerhouses – Mitchell Sullivan,Woolloongabba,4102.0,"The University Of Queensland, St Lucia, Brisbane, 4072: Mater Hospital, Woolloongabba, Brisbane, 4101",2020-07-16,Brisbane (C),Brisbane And Redlands,Maiwar,300000
677,Industry Research Fellowships,Aq Industry Research Fellowships 2020 R3-Covid-19,The University Of Queensland - Rbwh - Herston,Herston,4029.0,,The Royal Brisbane And Women'S Hospital  Princess Alexandra Hospital  Department Of Health - Forensic And Scientific Services  Department Of Health - Pathology Queensland,Automating Infectious Disease Surveillance With Artificial Intelligence - Brian Forde,Herston,4029.0,,2020-07-16,Brisbane (C),Brisbane And Redlands,Maiwar,300000
678,Industry Research Fellowships,Aq Industry Research Fellowships 2020 R3-Covid-19,University Of The Sunshine Coast,Sippy Downs,4556.0,,Sunshine Coast Hospital And Health Service,Covibac: Host Response And Secondary Pneumonia In Covid-19 - Olusola Olagoke,Birtinya,4575.0,"90 Sippy Downs Dr, Sippy Downs, Qld, 4556",2020-07-16,Sunshine Coast (R),Sunshine Coast,Buderim,90000
679,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111.0,,Australian Macadamia Society Limited  University Of Melbourne  Macadamias Direct  Cl Macs  Suncoast Gold  K D Barber And Kh Jones T/A Cropwatch Independent Laboratories  Marquis Macadamias  The Trustee For Emerald First Unit Trust T/A Applied Infrared Sensing,Advancing Queensland Nut Industry Using Machine Vision - Shahla Hosseini Bai,Nathan,4111.0,Bundaberg Qld; Gympie Dld; Wardell Nsw,2021-10-20,Brisbane (C),Brisbane And Redlands,Toohey,360000
680,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111.0,,Raw Power Systems Pty Ltd (Rps)  Visio Recycling,Production Of Value-Added Products From Waste Extinguishers And Tyres – Tak Kim,Nathan,4111.0,"Yatala, Qld / Parkwood, Qld",2021-10-20,Brisbane (C),Brisbane And Redlands,Toohey,240000
681,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,Queensland University Of Technology,Brisbane City,4000.0,,Tree Crop Technologies Pty Ltd Trading As Verterra,Artificial Intelligence Enabled Mine Site Rehabilitation - Kien Nguyen,Brisbane City,4000.0,"2 George St, Brisbane City, 4000, Qld",2021-10-20,Brisbane (C),Brisbane And Redlands,Mcconnel,360000
682,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,Central Queensland University,Norman Gardens,4701.0,,Synbio Pty Ltd  Northern Oil Refinery Pty Ltd,Cheaper Greener Queensland: Optimising Renewable Fuel Production From Mixed-Waste - Jahirul Islam,Norman Gardens,4701.0,"39 Guerassimoff Road, Yarwun, Qld 4694",2021-10-20,Rockhampton (R),Central Queensland,Keppel,360000
683,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,Central Queensland University,Norman Gardens,4701.0,,Dit Agtech Limited,New Methane Mitigation Technology To Increase Queensland’S Beef Industry Sustainability –Diogo Costa,Kawana,4701.0,"Belmont Research Station, Rockhampton, Qld; And Dit Clients At Paraway’S Rocklands Station, Camooweal, Qld And Yelvertoft’S Coolreagh Station, Mount Isa, Qld",2021-10-20,Rockhampton (R),Central Queensland,Keppel,240000
684,Industry Research Fellowships,Aq Industry Research Fellowships 2021 Round 4,Griffith University,Nathan,4111.0,,Beam Mobility  Neuron Mobility  Townsville City Council  Brisbane City Council  Department Of Transport And Main Roads,Transforming Queensland Tourism With Micro-Transport – Abraham Leung,Nathan,4111.0,"Brisbane, Townsville",2021-10-20,Brisbane (C),Brisbane And Redlands,Toohey,240000
685,Industry Research Fellowships,Aq Industry Research Fellowships 2019 Round 2,The University Of Queensland,St Lucia,4067.0,,Mount Isa Mines Limited  Magotteaux Australia Pty Ltd  Solvay Technology Solutions,Overcoming Pyrite Challenges In Queensland’S Ore Reserves And Mine Tailings – Elizaveta Forbes,Indooroopilly,4068.0,"Mount Isa Mines - Railway Ave, Mount Isa Qld 4825 & Head Office Of Mount Isa Mines’ Parent Company - Glencore Queensland - 160 Ann St, Brisbane City Qld 4000",2019-11-18,Brisbane (C),Brisbane And Redlands,Maiwar,300000
